# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0  in experiment E-PROT-29
# Selected columns: 31 (all)
# Timestamp: Mon, 27-Apr-2020 07:51:53
Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	brain	colon	duodenum	endometrium	esophagus	fallopian tube	gallbladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	pituitary gland	placenta	prostate	rectum	salivary gland	small intestine	smooth muscle	spleen	stomach	testis	thyroid	tonsil	urinary bladder	vermiform appendix
55872	55872	1239.0		24585.0	254.0	1975.0	9654.0	1248.0	2743.0	624.0	949.0		127.0	1260.0	7864.0	1399.0	5464.0	147.0		159.0	343.0	5129.0	57.0	756.0	440.0	592.0	127.0	46638.0		2585.0	1506.0	938.0
ENSG00000000003	TSPAN6		3601.0	10274.0	4139.0	3353.0	8097.0	2611.0	12543.0	23490.0	9272.0		11647.0	7656.0	7546.0	694.0	5102.0	260.0	1644.0	2164.0	128375.0	2191.0	244520.0	6229.0	642.0	1679.0	9217.0	445.0	4356.0	1204.0	2186.0	
ENSG00000000419	DPM1	21862.0	51963.0	103106.0	16173.0	18883.0	72798.0	48506.0	23667.0	81464.0	33639.0	26512.0	38905.0	27048.0	94634.0	78815.0	37407.0	194902.0	18470.0	34899.0	28410.0	36812.0	78783.0	36085.0	15530.0	48236.0	32744.0	61244.0	131478.0	37062.0	25915.0	8979.0
ENSG00000000457	SCYL3	39.0	1056.0	543.0	379.0	318.0	1233.0	1796.0	109.0	4601.0	731.0	230.0	1955.0	973.0	1637.0	795.0	170.0	5163.0	1802.0	1226.0	873.0	3744.0	5573.0	1498.0	1164.0	245.0	1348.0	1048.0	1564.0	1020.0	463.0	325.0
ENSG00000000460	C1orf112				54.0		29.0	26.0							201.0		190.0	551.0	121.0					16.0			23.0	547.0		26.0		
ENSG00000000938	FGR	14273.0	2148.0	149779.0	288.0	10825.0	368.0	2613.0	1040.0	116.0	9338.0	34.0	154.0	186.0	17649.0	3576.0	892.0	9035.0		515.0	1608.0	74016.0	139.0	1658.0	165.0	33644.0	1691.0	206.0	347.0	4601.0	7559.0	38752.0
ENSG00000000971	CFH	1755643.0	345515.0	20270.0	85509.0	195907.0	183726.0	169759.0	565595.0	105638.0	909012.0	111169.0	275407.0	78579.0	154408.0	181892.0	518460.0	57695.0	42776.0	250257.0	349437.0	253704.0	140344.0	165157.0	263979.0	110219.0	252003.0	302983.0	133788.0	41393.0	347881.0	583859.0
ENSG00000001036	FUCA2	3476.0	11921.0	19272.0	3209.0	2387.0	9957.0	396.0	785.0	6189.0	7245.0	675.0	907.0	9748.0	3981.0	1550.0	2318.0	13772.0	2675.0	2291.0	15094.0	4174.0	2649.0	2759.0	578.0	2047.0	2205.0	6108.0	43866.0	1340.0	13861.0	768.0
ENSG00000001084	GCLC	42990.0	66839.0	36407.0	120245.0	28344.0	71929.0	62668.0	29070.0	146875.0	37229.0	18181.0	36717.0	141288.0	104598.0	23636.0	83102.0	71073.0	22699.0	48587.0	68759.0	70389.0	45030.0	89332.0	21400.0	108324.0	39327.0	74284.0	30626.0	32238.0	89144.0	37531.0
ENSG00000001167	NFYA	898.0	5186.0		4402.0	3680.0	11271.0	20011.0	767.0	18817.0	1268.0	1556.0	1339.0	4562.0	11825.0	34967.0	22529.0	8371.0	13167.0	1497.0	4050.0	151070.0			6118.0		1411.0	21106.0	11377.0	37366.0	1052.0	
ENSG00000001460	STPG1									58.0				446.0																318.0		
ENSG00000001461	NIPAL3				214.0		445.0												200.0				408.0							290.0		
ENSG00000001497	LAS1L	1217.0	2578.0	22777.0	2047.0	3882.0	3280.0	6690.0	3889.0	11260.0	2218.0	8928.0	1521.0	1359.0	7407.0	6605.0	6131.0	2607.0	1463.0	4469.0	5954.0	5825.0	2234.0	3611.0	1104.0	2375.0	1584.0	18717.0	3346.0	5989.0	2379.0	3002.0
ENSG00000001561	ENPP4	3990.0	2962.0	39364.0	13801.0	2794.0	4384.0	1458.0	2121.0	4898.0	8111.0	848.0	8341.0	4528.0	12012.0	1729.0	2625.0	8564.0	716.0	1073.0	4134.0	284.0	4026.0	5766.0	856.0	24530.0	12164.0	5398.0	3681.0	9173.0	10456.0	5582.0
