nodeName	altName	nodeAttr[nodesPresent, ]
MMT00000887	Gne	magenta
MMT00001077	Ngfrap1	magenta
MMT00001185	Nrarp	magenta
MMT00001486	9930023K05Rik	magenta
MMT00002002	Unc5b	magenta
MMT00002037	Sulf1	magenta
MMT00002102	Ltbp1	magenta
MMT00002209	Tusc3	magenta
MMT00002575	NA	magenta
MMT00002758	Prg4	magenta
MMT00002824	Efemp2	magenta
MMT00003081	2310046G15Rik	magenta
MMT00003586	1200003C23Rik	magenta
MMT00003596	Art4	magenta
MMT00003970	Ctps	magenta
MMT00003982	A830073O21Rik	magenta
MMT00003994	Sparc	magenta
MMT00004034	NA	magenta
MMT00004170	Naalad2	magenta
MMT00004283	A530057A03Rik	magenta
MMT00004397	NA	magenta
MMT00004428	Timp1	magenta
MMT00004844	Eltd1	magenta
MMT00006001	Mogat1	magenta
MMT00006077	Osbpl5	magenta
MMT00006097	Jam2	magenta
MMT00006230	Npn3	magenta
MMT00006315	5031439A09Rik	magenta
MMT00006378	Bmp5	magenta
MMT00006545	D4st1	magenta
MMT00006709	Zfp521	magenta
MMT00006713	Ppic	magenta
MMT00006822	Tagln	magenta
MMT00006859	3222401M22Rik	magenta
MMT00007042	Aard	magenta
MMT00007205	BC029214	magenta
MMT00007277	2600017H02Rik	magenta
MMT00007603	Arsa	magenta
MMT00007709	Ehd2	magenta
MMT00007836	NA	magenta
MMT00007847	Gal3st1	magenta
MMT00007859	Npdc1	magenta
MMT00007963	Sdcbp2	magenta
MMT00007995	Sh3bp4	magenta
MMT00008094	Rtn1	magenta
MMT00008463	Pdir	magenta
MMT00008968	Ggta1	magenta
MMT00008970	NA	magenta
MMT00009272	9230112O05Rik	magenta
MMT00009690	NA	magenta
MMT00009857	Fbln2	magenta
MMT00009951	Sgce	magenta
MMT00010412	Serpina1d	magenta
MMT00010542	Col16a1	magenta
MMT00010602	Pea15	magenta
MMT00010873	Atp8b2	magenta
MMT00010907	Zfp503	magenta
MMT00011268	Tnfsf13b	magenta
MMT00011876	0610039N19Rik	magenta
MMT00012202	AW547365	magenta
MMT00012203	4632428N05Rik	magenta
MMT00012511	Cpxm1	magenta
MMT00012992	Fmo3	magenta
MMT00013100	2810489O06Rik	magenta
MMT00013122	Nbea	magenta
MMT00013203	Mat1a	magenta
MMT00013227	E030006K04Rik	magenta
MMT00013704	Numbl	magenta
MMT00013759	Sh3d4	magenta
MMT00014132	6230427J02Rik	magenta
MMT00014558	9030624L02Rik	magenta
MMT00014630	Cnr2	magenta
MMT00014730	Pam	magenta
MMT00015180	1500041B16Rik	magenta
MMT00015289	Akr1b8	magenta
MMT00015334	Loxl1	magenta
MMT00015563	Ppm1l	magenta
MMT00015593	Lum	magenta
MMT00015674	Agpt2	magenta
MMT00016457	E230026N22Rik	magenta
MMT00016835	Gpld1	magenta
MMT00016958	Kcnq1	magenta
MMT00017188	Ian6	magenta
MMT00017203	Sept9	magenta
MMT00017421	Itgbl1	magenta
MMT00017456	E430007K15Rik	magenta
MMT00017674	Sfxn3	magenta
MMT00017718	Lgi2	magenta
MMT00018071	Tek	magenta
MMT00018085	C1qr1	magenta
MMT00018374	Igsf4a	magenta
MMT00018479	Slc39a14	magenta
MMT00018643	C86987	magenta
MMT00018797	Ccdc3	magenta
MMT00019063	Pcolce	magenta
MMT00019191	NA	magenta
MMT00019257	Cldn5	magenta
MMT00019405	Adamts2	magenta
MMT00019744	1300018K11Rik	magenta
MMT00020088	Ctla2a	magenta
MMT00020374	Thbd	magenta
MMT00020598	2810051F02Rik	magenta
MMT00020770	Adam8	magenta
MMT00020883	Kit	magenta
MMT00021004	Xbp1	magenta
MMT00021090	Plxnb1	magenta
MMT00021275	Sorbs1	magenta
MMT00021643	Fgd5	magenta
MMT00021734	Rab15	magenta
MMT00021743	Cfh	magenta
MMT00021805	Igfbp7	magenta
MMT00022098	Bcl6b	magenta
MMT00022230	Prss21	magenta
MMT00022657	C8b	magenta
MMT00022754	Bmp2	magenta
MMT00022932	BC025446	magenta
MMT00024107	5730485H21Rik	magenta
MMT00024150	Clstn3	magenta
MMT00024300	Cyp2c40	magenta
MMT00024492	F2r	magenta
MMT00024851	Pdgfrb	magenta
MMT00025030	Inhbb	magenta
MMT00025048	Sctr	magenta
MMT00025256	Gmpr	magenta
MMT00025527	Vtn	magenta
MMT00025842	Socs3	magenta
MMT00025886	Tgm1	magenta
MMT00026028	AI324046	magenta
MMT00026117	Plekha4	magenta
MMT00026255	Tm4sf1	magenta
MMT00026611	Col1a2	magenta
MMT00026638	Zfpm2	magenta
MMT00027064	Gpm6b	magenta
MMT00027170	NA	magenta
MMT00027378	Itih3	magenta
MMT00027530	5430432M24Rik	magenta
MMT00027663	Slc3a1	magenta
MMT00027667	Hspa5bp1	magenta
MMT00027763	Slc38a2	magenta
MMT00027861	Orm2	magenta
MMT00027989	BC014805	magenta
MMT00028002	Pparg	magenta
MMT00028568	Tfpi	magenta
